Num Not	FRBNF	ARK	ISBN	EAN	Titre	Auteur	Date	Volume-Tome	Editeur
  ARC00006334					2018 Centenaire de la première guerre mondiale Volume 4	de guerre centenaire mondiale mission du premiere la	2018		14-18 Mission Centenaire
  ARC00006863					30 ans du Parc Naturel régional de Brière Les événements qui ont marqué la vie du parc au 20ème siècle				 s  n  
  DOB00002278			9788885982772		387 d  c dell'Ambrogio e Agostino le sorgenti dell'Europa  mostra  Milano  Museo Diocesano  Chiostri di Sant'Eustorgio  8 dicembre 2003-2 maggio 2004  	pasini paolo	2003		Olivares
  DOB00002352					500 ans d'imprimerie en Bretagne 1484-1985 exposition	xavier ferrieu	1985		Bibliothèque municipale de Rennes
  ARC00006542					a cordonnerie de Saint-Herblon est centenaire	bore-maillard francoise	2018	n° 33	
  ARC00006959					A Donges  sur la route de l'or noir   Avec Des Rives  les mots d'un auteur et le regard d'un photographe sur l'estuaire	franck tomps chomette guy-pierre	2019		
  ARC00007071					A la découverte du centre-ville de Couëron Promenade historique et architecturale	coueron			
  ARC00007072					A la découverte du patrimoine industriel de Couëron Promenade historique et architecturale	coueron			
  DOB00002319					A portrait of Emanuel van Meteren and his wife  Hester van Corput  by Joris Hoefnagel	lorne campbell	2019		
  DOB00002343					A propos d'écologie historique en Amazonie	rostain stephen	2018		
  ARC00006436					A propos du sceau pour sauf-conduit de Gilles de Retz	jeanne bechet gauche clemence			
  ARC00006660					A SOS Familles EmmaÌs 44   on arrive souvent en dernier ressort 	guillotin berillon philippe christian	2019		
  ARC00007077					Abbaretz infos				
  ARC00006900					Accident du travail à Vertou  Le pont de Portillon	jean-claude brosseau	2019		
  ARC00006916					Aéroport de Notre-Dame-des-Landes  Autopsie d'un déni démocratique	marc beniada bouchery perri frederic	2019		Librinova
  ARC00006685					Agriculture  commerce et industrie		2019		
  ARC00006387					Almanach de tout le monde pour l'année 1841 Contenant le calendrier avec des instructions sur le jardinage mois par mois   la table des plus hautes marées   les foires de 4 départements   Loire-Inférieure  Vendée  Maine-et-Loire  Ile-et-Vilaine		1830		Imprimerie Victor Mangin
  DOB00002348			978-2-35518-088-0		Ancient lamps from Balkans and beyond acts of the 4th International Lychnological Congress  «Ex Oriente Lux»  Ptuj  15th-19th of May  2012  in memory of Jean Bussière	laurent chrzanovski	2019		Editions Monique Mergoil
  DOB00002385			978-0-7123-5207-9		Anglo-saxon kingdoms art  word  war	by claire breay story and joanna edited	2018		British Library
  DOB00002262					Animaux fantastiques en numismatique  le Griffon	gildas salain			
  ARC00006495					Annales de Tacite  en latin et en François Règnes de Claude et de Néron	jean-henri dotteville tacite	1786	Tome second	Moutard
  ARC00006494					Annales de Tacite  en latin et en François Règnes de Claude et de Néron	jean-henri dotteville tacite	1785	Tome premier	Moutard
  ARC00006493					Annales de Tacite  en latin et en François Règnes de Tibère et de Caius	jean-henri dotteville tacite	1779	Tome second	Moutard
  ARC00006492					Annales de Tacite  en latin et en François Règnes de Tibère et de Caius	jean-henri dotteville tacite	1779	Tome premier	Moutard
  FRBNF457338620000003			978-2-203-16362-1		Anne de Bretagne intrigues au château	tchao armide cedric aurelien	2019		Casterman
  ARC00006488					Anthinea d'Athènes à Florence	maurras charles	1920		Honoré et Edouard Champion
  DOB00002293			978-2-7577-0054-9		Antiquité grecque et romaine vocabulaire bilingue LSF Français	sintes claude	2010		Ed  du Patrimoine Centre des monuments nationaux
  ARC00006909					Après le débat  Nantes  la Loire et nous  les projets prennent forme	auclerc philippe	2019		
  ARC00006408			978-2-84287-512-1		Arcana imperii II	guillot olivier	2010		Presses universitaires de Limoges
  ARC00006407			978-2-84287-511-4		Arcana imperii II	guillot olivier	2010		Presses universitaires de Limoges
  DOB00002272			9789461614452		Archéologie dans l'Aube des premiers paysans au prince de Lavau	de vincent dohrmann institut departementales riquier nicolas archeologiques aube preventives recherches national archives	2018		Editions Snoeck
  DOB00002316			978-2-7535-7442-7		Architectures de l'âge du Fer en Europe occidentale et centrale actes du 40e colloque international de l'AFEAF  Rennes  du 4 au 7 mai 2016	menez patrick villard-le maguer yves tiec anne	2018		Presses universitaires de Rennes
					Archives départementales de Loire-Atlantique  Le fonds de l'architecte René Ménard  1876-1958 	billard coralie	2019		
  ARC00007048					Archives départementales de Loire-Atlantique  Le fonds René Ménard  1876-1958 	billard coralie	2019		
  ARC00006617					Archives diplomatiques   mode d'emploi Archives du ministère des Affaires étrangères	ministere france etrangeres des affaires diplomatiques centre archives	2019		Archives   Culture
  ARC00007043					Archives du passé  Julienne David femme corsaire		2019		
  ARC00007044					Archives du passé  La concession des Mines de Houille des Touches		2019		
  ARC00007042					Archives du passé  Les démêlés de Don Camillo et Peponne		2019		
  ARC00006421			978-2-373-0-10848		Armistice 1918 Petit dictionnaire historique   insolite du 11 novembre 1918	soulard christophe	2018		Editions JPO
  ARC00006906					Armorial général et nobiliaire français  KERNO - DU BOE	hubert lamant	2019		
  FRBNF304572720000004					Arrests du parlement de Bretagne  pris des mémoires   plaidoyers de feu Me Sébastien Frain    3e et dernière édition  revue    par Me Pierre Hevin   Texte imprimé	de france bretagne hevin pierre sebastien parlement frain	1684		P  Garnier
  ARC00006807					Arsène Leloup  maire de Rezé puis de Nantes	kervarec michel	2019		
  ARC00006614					Article consernant l'indépendance des Etats-Unis d'Amérique		1976		
  ARC00007004					Assérac  Bulletin municipal Assérac mag'				
  ARC00007003					Assérac  Bulletin municipal Le vert à la mer				
  ARC00006615					Au front  la troupe du 81ème RIT de Nantes fait la guerre au cafard Un exemple de théâtre aux armées pendant la guerre	bourgeon jean			
  ARC00006836					Au mexique  on y fut    1862-1867 	pierre aubry	2019		
  ARC00006703					Au Moyen âge  Nantes capitale artistique de Bretagne	leny charrier	2019		
  ARC00006661					Au Secours populaire à Saint-Nazaire  les pauvres  les précaires et les autres	castel monique	2019		
  ARC00006837					Au XIVème siècle  une tour de péage				
  ARC00006662					Aux Dervallières  des coupables de pauvreté	le jean menn	2019		
  ARC00007040					Aux origines de la guerre de succession de Bretagne  Documents  1341-1342 	graham-goering yeurc'h michael charon jones bertrand erika philippe	2019		Presses universitaires de Rennes
  ARC00006659					Aux Restos du coeur à Machecoul  la vie d'Henri	helene rolland	2019		
  ARC00006607					Avertissements aux protestants sur les lettres du ministre Jurieu	jacques benigne bossuet	1823		Chez Delestre-Boulage
  ARC00006606					Avertissements aux protestants sur les lettres du ministre Jurieu	jacques benigne bossuet	1823		Chez Delestre-Boulage
  ARC00006344					Aviateurs de la Grande Guerre 1914-1919 nés en Loire-Inférieure	perocheau christian trichard henri	2018		
  ARC00006346					Batz-sur-Mer se souvient     Cent ans après 1918-2018		2018		
  ARC00006612			9782021022865		Bestiaires du Moyen age	pastoureau michel	2019		Editions du Seuil
  ARC00006854					Bibliographie sur le thème des jardins	pays de regional conseil loire la	2019		
  DOB00002399			979-10-699-1746-0		Billets et tickets d'Outre-Mer émissions officielles dites  de nécessité  dans l'Empire colonial français	bayle georges	2018		
	frbnf437722420000004		978-2-7578-4001-6		Bleu histoire d'une couleur	pastoureau michel	2014		Ed  du Seuil
	frbnf437722420000004		978-2-7578-4001-6		Bleu histoire d'une couleur	pastoureau michel	2014		Ed  du Seuil
  ARC00006633					Bordeaux  La Rochelle  Nantes  capitales négrières	fragneau yan	2019		
  DOB00002331			978-2-271-11908-7		Boucher de Perthes	hurel arnaud aufrere leon potin yann	2018		CNRS éditions
  ARC00006439					Bouclette  ouvrier trignacais et musicien	emile brosseau	2019		
  ARC00006731					Boussay  Bulletin municipal				
  ARC00006842					Bouvron	boisrouvray du xavier			
  ARC00006541					Braud à Saint-Mars-la-Jaille  De la forge à la moissonneuse-batteuse	bernard perrouin	2018	n° 33	
  ARC00006367			978-2-7373-7904-8		Bretagne du XXe siècle	ronan dantec	2018		Editions Ouest-France
  ARC00006356			978-2-84346-858-2		Bretonnes et Résistantes  1940-1944  Approche sociohistorique d'un engagement hors norme	le boulanger isabelle	2018		Coop Breizh
  ARC00006876					Briser les hermines  Les armoiriers des vicomtes et vicomtesses de Limoges de la maison de Bretagne	hablot laurent	2019		
  ARC00006532					Bruges-la-morte	rodenbach georges			Ernest Flammarion
  ARC00006720					Bulletin de la raffinerie				
  ARC00006619					Bulletin paroissial de Sainte-Pazanne				
  ARC00006724					Cur Pays de Retz  Communauté de communes				
  ARC00006510					Cap sur Guérande   Les cartes du pays guérandais depuis le Moyen Ege	nina roche oriot albane	2019		
  ARC00006451					Capitaines d'industrie au XXe siècle à Nantes	abed loic	2019		
  ARC00006433			978-2-919339-52-5		Capitaines d'industrie au XXème siècle	yves rochcongar	2018		Coiffard Edition
  ARC00006844			979-10-93050-09-6		Carnet d'ancêtres Thomazi Une famille croisicaise 1600-1700	catherine thomazi	2019		Autoédité
  ARC00006829					Carnet d'inspiration  Echappées belles à vélo en Loire-Atlantique	loire-atlantique conseil general	2019		Loire-Atlantique développement
  DOC00075922					Carnets numismatiques du comté de Nice et du Sud-Est	de nice cercle numismatique	2017		Cercle numismatique de Nice
  ARC00006955					Catalogue des expositions en prêt	loire-atlantique departementales archives	2019		
  ARC00006372			978-2-7654-1574-9		Cataloguer aujourd'hui Identifier les oeuvres  les expressions  les personnes selon RDA-FR	toussaint claire	2018		Editions du Cercle de la Librairie
  ARC00007120					Cathédrale de Nantes Saint-Pierre et Saint-Paul	de et l'immaculee cathedrale jean-francois amis chapelle henry la	2019		
  FRBNF313903300000001					Causeries historiques et littérairesTexte imprimé	souvestre emile	1861		Michel Lévy frères
  ARC00007087					Ce que disent les mots   	de les memoire association gildas buron greniers la	2019		
  FRBNF45532723000000X			979-10-97465-03-2		C'était 1958 en Bretagne pour une histoire locale de la France	erwan francois gall le prigent	2018		
  ARC00006773					Chant du peuple de Haute-Bretagne  Région de Nort-sur-Erdre - 44	de groupe nort-sur-erdre celtique	1985		
  ARC00006721					Chapelle-Glain  La   Bulletin municipal				
  ARC00006753					Chapelle-Glain  La   Bulletin municipal L'Echo Glainois				
  ARC00006869					Charles de Blois et Jeanne de Penthièvre  duc et duchesse de Bretagne et leur vicomté de Limoges L'évidence des comptes	graham-goering jones erika michael	2019		
  ARC00006740					Charles Le Roux et Louis Cabat  deux peintres à Pornic  été 1850	hubert hervouet	2019		
  FRBNF456099090000005			978-2-01-706899-0		Chasseurs d'héritiers histoires vraies de généalogistes	caroline gilles pascal nogueras-flavigny coutot-roehrig	2018		
  ARC00006629					Châteaubriant  La carrière aux vingt-septs otages	gwenaelle abolivier	2019		
  ARC00006903					Châteaubriant  Un château dans l'histoire Le Conseil général et la culture	loire-atlantique conseil general	2001		
  ARC00006578					Chef-d'oeuvres dramatiques d'Alexis Piron précédés de la vie de l'auteur  écrite par lui-même	piron alexis	1775		chez la Veuve Duchesne
  ARC00007050					Chronique patrimoniale  Immeubles protégés au titre des monuments historiques en Loire-Atlantique	solen peron	2019		
  ARC00006399			979-10-90326-96-5		Chroniques oubliées en Sud Bretagne	lucas marcel	2018		Editions du Traict
  DOB00002304					Chronologie normalisée du mobilier funéraire mérovingien entre Manche et Lorraine	francoise rene patrick perin legoux vallet	2016		Association française d'archéologie mérovingienne
  ARC00007016					Cinq lettres sur Ernest Renan	ferdinand brunetiere	1904		Librairie Académique Perrin et Cie
  ARC00006583					Cinq-Mars ou une conjuration sous Louis XIII précédée de Réflexions sur la vérité dans l'art   suivie du Discours de réception de l'auteur à l'Académie française  accompagnée de documents historiques et des notes et preuves du discours	de alfred vigny	1855		Charpentier libraire-éditeur
  ARC00006978					Claire  duchesse de Duras  salonnière célèbre et écrivaine bretonne Sa vie  son oeuvre	saint-houardon jean de	2019		
  ARC00006654					Classer  dire  compter discipline du chiffre et fabrique d'une norme comptable à la fin du Moyen Ege colloque des 10 et 11 octobre 2012	france ministere et olivier patrice des beck publics comptes finances matteoni	2015		Comité pour l'histoire économiqe et financière de la France
  FRBNF422846430000000			978-2-7535-1092-0		Claude de Seyssel  c  1450-1520 écrire l'histoire  penser le politique en France  à l'aube des Temps modernes	d'etude xvie siecle eichel-lojkine francaise du patricia societe	2010		Presses de l'Université de Rennes
  ARC00006853					Collection des notices d'implantation industrielle  Edition 1961-1962  Nantes	et industriels le developpement la pour societe conversion	1962		J  et R  Sennac
  DOB00002287					Collectionner le minuscule en grand dans les quelques centimètres du netsuke  toute l'habilité du sculpteur japonais se trouve condensée monsieur G  avait cédé à leur fantaisie  et son ensemble  dispersé le 10 octobre prochain  comporte de réjouissants objets	anne doridou-heim	2018		
  ARC00006452			978-2-503-57800-2		Collections de Bretagne  du Centre et des Pays-de-la-Loire  Texte imprimé    Angers  Blois  Bourges  Chartres  Le Mans  Loches  Nantes  Orléans  Rennes  Tours  Vendo  770 me	meyer christian	2017		Brepols
  ARC00006443					Collégiale de Guérande Les pilliers romans	tabary bernard	2019		
  ARC00007128	frbnf420634140000000		978-2-84497-161-6		Colpo trésors de vie par l'image	picaut jean-etienne	2009		Liv'éditions
  ARC00006831					Comité de l'or du département de la Loire-Inférieure	emile cormerais			Imprimerie Armoricaine
  ARC00006655					Commandants  états-majors et activité des bâtiments de la Marine française	jean-michel roche	2019	Tome 1	
  ARC00006828					Commémoration du Centenaire de l'Armistice de la Grande Guerre 1914-1918		2018		
  ARC00006958					Comment charbon  pétrole et gaz ont-ils investi l'estuaire   Une si longue histoire industrielle	guillaume jacques	2019		
  FRBNF307199500000008					Commentaire sur le théâtre de Voltaire   par M  de La Harpe  imprimé d'après le manuscrit autographe    recueilli et publié par      Decroix 	de voltaire francois harpe jacques-joseph-marie decroix jean la	1814		Maradan
  ARC00006715					Compagnie des notaires de Loire-Atlantique				Chambre des notaires de Loire-Atlantique
  ARC00007051					Conservation des antiquités et objets d'Art de Loire-Atlantique  Actualité de l'année 2018	delpire laurent	2019		
  ARC00006381					Consommation énergétique du patrimoine immobilier Bilan annuel 2017-2018	de loire-atlantique departement	2018		Département de la Loire-Atlantique
  ARC00006426			978-2-36785-014-6		Constance de Bretagne  1161-1201  Une duchesse face à Richard Coeur de Lion et Jean sans Terre	borgnis desbordes eric	2018		Yoran Embanner
  ARC00007008					Contes du lit-clos  récits et légendes bretonnes en vers    suivis de Chansons à dire     11e mille  	theodore botrel	1900		Georges Ondet
  DOB00002336					Contribution à l'histoire de l'UFR des Sciences Pharmaceutiques et Biologiques de Nantes l'Ecole de plein exercice pendant la Première Guerre Mondiale	bastien delattre	2018		
  ARC00006956					Cordemais en transitions 1982 - 2022 Economie   tourisme  environnement  services de proximmité  réseaux associatifs   	geffroy joel	2019		 s n  
  ARC00006566					Correspondance de Louis Veuillot	eugene louis veuillot	18 841 885		Victor Palmé
  ARC00006558					Correspondance littéraire  adressée à S  A  I  Mgr le grand duc  aujourd'hui empereur de Russie  et à M  le comte André Schowalow     depuis 1774 jusqu'à 1789	de francois harpe jean la	18 011 807		Migneret
  DOB00002325			9782390380160		Cuivres  bronzes et laitons médiévaux   histoire  archéologie et archéométrie des productions en laiton  bronze et autres alliages à base de cuivre dans l'Europe médiévale  12e-16e siècles 	nicolas pete thomas dandridge	2018		Agence wallonne du Patrimoine
  DOB00002267			9782760544543		Culture et éducation non formelle	jacobi daniel	2018		Presses de l'Université du Québec
  ARC00006475					Daniel Cortis Traduit de l'italien par Paul Solanges	paul fogazzaro solanges antonio			Calmann-Lévy
  ARC00006391					Dans les bois de Dailly  un soldat mort   	constant christian	2013		
  ARC00006383			978-2-906519-71-8		Dans les prisons de Nantes   	pierre chotard	2018		Editions Château des Ducs de Bretagne
  ARC00006638					De croix en calvaires	pierre aubry	2019		
  ARC00006635					De la  Catho  au privé  Socio-histoire d'une reconfiguration du service public d'éducation depuis la loi Debré   le cas des Pays de la Loire	mengneau juliette	2019		
  DOB00002303			978-2-7535-5922-6		De la Gaule à l'Orient méditerranéen Fonctions et statuts des mobiliers archéologiques dans leur contexte	ballet isabelle severine bertrand lemaitre pascale	2018		Presses universitaires de Rennes
  ARC00006562					De la grandeur des Romains et de leur décadence avec la dissertation sur la politique des romains dans la religion  Le dialogue de Sylla  d'Eucrate et Lysimaque  L'essai sur le goût et des lettres  par Montesquieu suivis des réflexions sur les divers génies du peuple romain dans les différents temps de la république  par Saint-Evremont	de montesquieu saint-denis secondat charles charles-louis saint-evremond marguetel	1876		Librairie Garnier Frères
  ARC00006423			978-2-7535-7474-8		De la province à la nation Religion et identité politique en Bretagne	ford caroline	2018		Presses universitaires de Rennes
  ARC00006509					De la relique de saint Salomon en la collégiale Saint-Aubin de Guérande et de la création de la collégiale	lancien alain gallice josick	2019		
  ARC00006563					De l'esprit des lois par Montesquieu  avec des notes de Voltaire  de Crevier  de Mably  de La Harpe  etc  revue sur les meilleurs textes suivie de la défense de l'esprit des lois par l'auteur	de montesquieu voltaire secondat francois harpe charles-louis jean la			Librairie Garnier Frères
  ARC00006564					De l'esprit des loix ou du rapport que les loix doivent avoir avec la constitution de chaque gouvernement  les moeurs  le climat  la religion  le commerce   c  à quoi l'auteur a ajoûté  Des recherches nouvelles sur les loix romaines touchant les successions  sur les loix françoises    sur les loix féodales  Nouvelle edition revuë   corrigée  Tome premier	charles-louis montesquieu secondat de	1749		
  ARC00006772					Découvrir Nantes métropole Infos pratiques  culture  et tourisme		2019		JMD publicité média
  ARC00006957					Demain  un estuaire post-carbone Transition énergétique   les paysages de la Loire redessinés	maillere claude	2019		
  ARC00006792					Dénombrement de 1797 à Nort	loire-atlantique departementales gerard fourage archives		Vol. 7	
  ARC00006791					Dénombrement de 1797 à Nort	loire-atlantique departementales gerard fourage archives		Vol. 6	
  ARC00006790					Dénombrement de 1797 à Nort	loire-atlantique departementales gerard fourage archives		Vol. 5	
  ARC00006789					Dénombrement de 1797 à Nort	loire-atlantique departementales gerard fourage archives		Vol. 4	
  ARC00006788					Dénombrement de 1797 à Nort	loire-atlantique departementales gerard fourage archives		Vol. 3	
  ARC00006787					Dénombrement de 1797 à Nort	loire-atlantique departementales gerard fourage archives		Vol. 2	
  ARC00006786					Dénombrement de 1797 à Nort	loire-atlantique departementales gerard fourage archives		Vol. 1	
  ARC00007096					Des Acadiens au Pouliguen	de les memoire association greniers la	2019		
  ARC00006449					Des Acadiens en Bretagne	saint-houardon jean de	2019		
  FRBNF452903480000001			978-2-86049-038-2		Des Angevins en Résistance 1940-1945	marc tellier bergere departementales maine-et-loire pascal guillet serge archives	2016		Archives départementales de Maine-et-Loire
  ARC00006873					Des clers limousins en Bretagne ou des clercs bretons en Limousin au début du XIVème siècle  	anne massoni	2019		
  ARC00006716					Des Couëronnais venus d'ailleurs Couëron  Pontgibaud et les Anglais	le louis bail	2019		
  ARC00006769					Des femmes engagées pendant la Grande Guerre L'union des femmes de France en Anjou	departementales archives maine-et-loire	2018		
  ARC00006639					Des jardins ouvriers aux jardins partagés	abed loic	2019		
  ARC00006354			978-2-86056-028-3		Des larmes de granit après la grande guerre  se souvenir	departementales archives morbihan	2018		Archives départementales du Morbihan
  DOB00002318					Des monnaies à l'esprit chevaleresque  les types à l'écu penché timbré	gildas salain	2019		
  ARC00006649					Des ports bretons aux étals des épiciers   le transport terrestre des produits alimentaires ultramarins au XVIIIe siècle	sklaerenn scuiller	2017		
  ARC00007121					Des rives Voyage dans l'estuaire de la Loire	franck tomps chomette guy-pierre	2019		Editions 303
  ARC00006430			978-2-915293-98-2		Des Tsiganes vers Auschwitz Le convoi Z du 15 janvier 1944	heddebaut monique	2018		Editions Tirésias
  FRBNF455693770000001			978-2-36942-655-4		Désobéir des policiers et des gendarmes sous l'Occupation  1940-1944	yagil limore	2018		
  ARC00007076					Détours à Couëron Circuits de randonnée	coueron			
  ARC00006871					Deux titulaires pour une vicomté   Les démêlés d'Isabelle d'Espagne  duchesse de Bretagne  vicomtesse de Limoges  avec Guy de Bretagne  vicomte de Limoges	lemeillat marjolaine	2019		
  ARC00006795					Deuxième phase  La procédure menant au partage  Juin 1825-août 1829 	alain gallice	2019		
  ARC00006456					Devant le siècle	vogie eugene-melchior de	1896		Armand Colin
  FRBNF356906430000001					Dictionnaire de la cartophilie francophone	armand thinlot paul-noel albert paul	1990		P  Armand
